school,contact_type,contact_name,email
Stony Brook University,career-center,—,sbucareercenter@stonybrook.edu
Binghamton University,career-center,—,wcac@binghamton.edu
NYU Tandon School of Engineering,career-center,—,careers.tandonstudentlife@nyu.edu
UMBC,career-center,—,careers@umbc.edu
George Mason University,career-center,—,careers@gmu.edu
James Madison University,career-center,—,career@jmu.edu
Virginia Commonwealth University,career-center,—,engrcareers@vcu.edu
Howard University,career-center,—,careerservices@howard.edu
University of Richmond,career-center,—,careerservices@richmond.edu
Wake Forest University,career-center,—,careers@wfu.edu
UNC Charlotte,career-center,—,career@uncc.edu
East Carolina University,career-center,—,career@ecu.edu
College of Charleston,career-center,—,careercenter@cofc.edu
NC A&T State University,career-center,—,careerservices@ncat.edu
LSU,career-center,—,career@lsu.edu
Xavier University of Louisiana,career-center,—,ocs@xula.edu
University of Louisiana Lafayette,career-center,—,career@louisiana.edu
Texas State University,career-center,—,CareerServices@txstate.edu
UT Dallas,career-center,—,jonssonschooljobs@utdallas.edu
UT Arlington,career-center,—,engcoop@uta.edu
Texas Tech University,career-center,—,careercenter@ttu.edu
Trinity University San Antonio,career-center,—,careerservices@trinity.edu
Sam Houston State University,career-center,—,careersuccesscenter@shsu.edu
Rose-Hulman Institute of Technology,career-center,—,careers@rose-hulman.edu
Butler University,career-center,—,career@butler.edu
Valparaiso University,career-center,—,career.center@valpo.edu
University of Dayton,career-center,—,careerservices@udayton.edu
Miami University Ohio,career-center,—,careercenter@MiamiOH.edu
University of Akron,career-center,—,career@uakron.edu
Cleveland State University,career-center,—,careers@csuohio.edu
Calvin University,career-center,—,career@calvin.edu
Michigan State University,career-center,—,careers@egr.msu.edu
Santa Clara University,career-center,—,careercenter@scu.edu
Loyola Marymount University,career-center,—,careers@lmu.edu
San Jose State University,career-center,—,careerhelp@sjsu.edu
Cal Poly San Luis Obispo,career-center,—,cs-recruiting@calpoly.edu
Chapman University,career-center,—,career@chapman.edu
Harvey Mudd College,career-center,—,career_services@hmc.edu
Gonzaga University,career-center,—,careercenter@gonzaga.edu
Seattle University,career-center,—,careerengagement@seattleu.edu
University of Portland,career-center,—,career@up.edu
University of San Francisco,career-center,—,careerservices@usfca.edu
Bentley University,career-center,—,GA_UCD@Bentley.edu
Worcester State University,career-center,—,careerservices@worcester.edu
UMass Lowell,career-center,—,career_services@uml.edu
Roger Williams University,career-center,—,ccpd@rwu.edu
Quinnipiac University,career-center,—,QUCC@qu.edu
University of Vermont,career-center,—,career@uvm.edu
Clarkson University,career-center,—,career@clarkson.edu
Union College Schenectady,career-center,—,careercenter@union.edu
Ithaca College,career-center,—,careers@ithaca.edu
Hofstra University,career-center,—,CareerDesign@Hofstra.Edu
Manhattan College,career-center,—,careerdevelopment@manhattan.edu
CUNY City College,career-center,—,engineering@ccny.cuny.edu
Pace University,career-center,—,careers@pace.edu
Villanova University,career-center,—,careers.info@villanova.edu
Lehigh University,career-center,—,careercenter@lehigh.edu
Temple University,career-center,—,careercenter@temple.edu
Bucknell University,career-center,—,career@bucknell.edu
Lafayette College,career-center,—,careers@lafayette.edu
Widener University,career-center,—,careers@widener.edu
Duquesne University,career-center,—,careerdevelopment@duq.edu
Towson University,career-center,—,careercenter@towson.edu
Salisbury University,career-center,—,careerservices@salisbury.edu
Christopher Newport University,career-center,—,ccp@cnu.edu
Old Dominion University,career-center,—,cds@odu.edu
Radford University,career-center,—,csc@radford.edu
Appalachian State University,career-center,—,careercenter@appstate.edu
Winthrop University,career-center,—,careerdev@winthrop.edu
Coastal Carolina University,career-center,—,career@coastal.edu
Furman University,career-center,—,career.engagement@furman.edu
University of Central Arkansas,career-center,—,bears4hire@uca.edu
Georgetown University,career-center,—,careercenter@georgetown.edu
George Washington University,career-center,—,seascareers@gwu.edu
American University,career-center,—,careercenter@american.edu
University of Kentucky,career-center,—,ukcareercenter@uky.edu
Auburn University,career-center,—,explore@auburn.edu
University of Alabama,career-center,—,career@ua.edu
University of Kansas,career-center,—,ucc@ku.edu
University of Nebraska Omaha,career-center,—,careers@unomaha.edu
Creighton University,career-center,—,careercenter@creighton.edu
Xavier University Cincinnati,career-center,—,career@xavier.edu
Baldwin Wallace University,career-center,—,career@bw.edu
Oberlin College,career-center,—,career@oberlin.edu
DePaul University,career-center,—,career_center@depaul.edu
Northern Illinois University,career-center,—,careerservices@niu.edu
Bradley University,career-center,—,careers@bradley.edu
Southern Illinois University Carbondale,career-center,—,careerdevelopment@siu.edu
Indiana State University,career-center,—,isu-career-center@indstate.edu
IUPUI IU Indianapolis,career-center,—,ccas@iu.edu
University of Evansville,career-center,—,career@evansville.edu
Drake University,career-center,—,career.services@drake.edu
Simpson College,career-center,—,careers@simpson.edu
Grinnell College,career-center,—,career@grinnell.edu
Macalester College,career-center,—,careerexploration@macalester.edu
Minnesota State University Mankato,career-center,—,cdc@mnsu.edu
