school,contact_type,contact_name,email
Texas A&M,career-center,—,easa@tamu.edu
Arizona State,career-center,—,engineering.careers@asu.edu
University of Florida,career-center,—,UFCareerCenter@ufsa.ufl.edu
University of Arizona,career-center,—,career@arizona.edu
UC Santa Barbara,career-center,—,coe-info@engineering.ucsb.edu
CU Boulder,career-center,—,cueng@colorado.edu
Worcester Polytechnic Institute,career-center,—,cdc@wpi.edu
Rochester Institute of Technology,career-center,—,careerservices@rit.edu
Wayne State University,career-center,—,careerservices@wayne.edu
University of Nebraska-Lincoln,career-center,—,engineeringcareers@unl.edu
Syracuse University,career-center,—,careers@syr.edu
Illinois Institute of Technology,career-center,—,careerservices@illinoistech.edu
Marquette University,career-center,—,industryrelations@marquette.edu
Saint Louis University,career-center,—,career_services@slu.edu
Texas Christian University,career-center,—,careers@tcu.edu
Kennesaw State University,dept,—,ccseadvising@kennesaw.edu
Florida Atlantic University,career-center,—,engineering-services@fau.edu
NC State University,dept,—,engineering@ncsu.edu
University of Alabama Birmingham,career-center,—,careerservices@uab.edu
Mississippi State University,career-center,—,coop@career.msstate.edu
University of Mississippi,career-center,—,office@career.olemiss.edu
Georgia Southern University,career-center,—,ocpd@georgiasouthern.edu
University of South Carolina,career-center,—,career@sc.edu
University of Oklahoma,career-center,—,careercenter@ou.edu
Oklahoma State University,career-center,—,careers@okstate.edu
University of Arkansas,career-center,—,career@uark.edu
University of Nevada Reno,career-center,—,EngineeringCareers@unr.edu
UNLV,career-center,—,CareerServices@unlv.edu
Colorado School of Mines,career-center,—,careercenter@mines.edu
Washington State University,dept,—,vcea.info@wsu.edu
University of North Texas,career-center,—,career.center@unt.edu
Missouri University of Science and Technology,career-center,—,career@mst.edu
Ohio University,career-center,—,russcareerservices@ohio.edu
Michigan Technological University,career-center,—,career@mtu.edu
Embry-Riddle Aeronautical University,career-center,—,careers@erau.edu
University of New Mexico,career-center,—,career4u@unm.edu
Boise State University,career-center,—,career@boisestate.edu
University of Idaho,career-center,—,engr-sss@uidaho.edu
Wichita State University,career-center,—,SCA@wichita.edu
Louisiana Tech University,career-center,—,CareerCenter@LATech.edu
University of Toledo,career-center,—,RocketCareerCenter@utoledo.edu
Grand Valley State University,career-center,—,careers@gvsu.edu
Central Michigan University,career-center,—,careers@cmich.edu
Oakland University,career-center,—,careers@oakland.edu
Milwaukee School of Engineering,career-center,—,career-connections-center@msoe.edu
North Dakota State University,career-center,—,ndsu.coe@ndsu.edu
Northeastern University,club,—,acm@ccs.neu.edu
Rutgers University,dept,—,hello@soe.rutgers.edu
